FG,FGA
11,21
17,44
11,21
14,30
4,15
9,18
5,16
9,26
9,25
14,21
11,21
9,20
13,21
13,34
13,30
7,18
9,25
8,22
9,23
12,35
10,23
10,22
8,25
14,26
7,19
7,25
9,17
16,33
12,26
13,25
11,25
11,22
6,19
6,11
9,28
10,31
16,34
10,20
9,18
6,20
7,23
11,21
7,19
8,23
11,29
7,22
16,29
7,26
7,17
10,23
8,20
16,34
10,27
11,27
14,26
5,19
13,22
4,18
14,29
13,28
12,36
14,30
8,24
21,39
7,21
9,26
6,18
8,17
9,20
4,16
6,6
13,24
15,30
21,40
8,22
14,31
4,12
14,25
6,25
17,32
2,10
