Yr,Tm,R,BB+HBP,1B,2B,3B,HR,SB,CS
2016,ARI,752,513,948,285,56,190,137,31
2016,ATL,649,561,960,295,27,122,75,34
2016,BAL,744,512,889,265,6,253,19,13
2016,BOS,878,601,1022,343,25,208,83,24
2016,CHC,808,752,887,293,30,199,66,34
2016,CHW,686,508,950,277,33,168,77,36
2016,CIN,716,504,929,277,33,164,139,51
2016,CLE,777,580,913,308,29,185,134,31
2016,COL,845,534,975,318,47,204,66,39
2016,DET,750,546,983,252,30,211,58,29
2016,HOU,724,601,849,291,29,198,102,44
2016,KCR,675,427,1006,264,33,147,121,35
2016,LAA,717,522,955,279,20,156,73,34
2016,LAD,725,583,894,272,21,189,45,26
2016,MIA,655,501,1031,259,42,128,71,28
2016,MIL,671,636,837,249,19,194,181,56
2016,MIN,722,557,886,288,35,200,91,32
2016,NYM,671,579,865,240,19,218,42,18
2016,NYY,680,517,930,245,20,183,72,22
2016,OAK,653,475,892,270,21,169,50,23
2016,PHI,610,482,878,231,35,161,96,45
2016,PIT,729,642,964,277,32,153,110,45
2016,SDP,686,507,815,257,26,177,125,45
2016,SEA,768,578,955,251,17,223,56,28
2016,SFG,715,614,973,280,54,130,79,36
2016,STL,779,596,859,299,32,225,35,26
2016,TBR,672,518,797,288,32,216,60,37
2016,TEX,765,506,951,257,23,215,99,36
2016,TOR,759,687,843,276,18,221,54,24
2016,WSN,763,600,903,268,29,203,121,39
2015,ARI,720,523,1003,289,48,154,132,44
2015,ATL,573,515,992,251,18,100,69,33
2015,BAL,713,469,887,246,20,217,44,25
2015,BOS,748,524,1007,294,33,161,71,27
2015,CHC,689,641,868,272,30,171,95,37
2015,CHW,622,469,958,260,27,136,68,42
2015,CIN,640,538,931,257,27,167,134,38
2015,CLE,669,572,922,303,29,141,86,28
2015,COL,737,421,970,274,49,186,97,43
2015,DET,689,496,1026,289,49,151,83,51
2015,HOU,729,542,829,278,26,230,121,48
2015,KCR,724,460,1016,300,42,139,104,34
2015,LAA,661,493,891,243,21,176,52,34
2015,LAD,667,623,870,263,26,187,59,34
2015,MIA,613,414,1024,236,40,120,112,45
2015,MIL,655,453,925,274,34,145,84,29
2015,MIN,696,479,872,277,44,156,70,38
2015,NYM,683,556,862,295,17,177,51,25
2015,NYY,764,617,894,272,19,212,63,25
2015,OAK,694,515,936,277,46,146,78,29
2015,PHI,626,441,935,272,37,130,88,32
2015,PIT,697,550,1003,292,27,140,98,45
2015,SDP,650,466,880,260,36,148,82,29
2015,SEA,656,514,897,262,22,198,69,45
2015,SFG,696,506,1023,288,39,136,93,36
2015,STL,647,572,922,288,39,137,69,38
2015,TBR,644,520,906,278,32,167,87,45
2015,TEX,751,579,936,279,32,172,101,39
2015,TOR,891,624,923,308,17,232,88,23
2015,WSN,703,583,908,265,13,177,57,23
2014,ARI,615,441,955,259,47,118,86,33
2014,ATL,573,515,931,240,22,123,95,33
2014,BAL,705,463,943,264,16,211,44,20
2014,BOS,634,603,930,282,20,123,63,25
2014,CHC,614,496,857,270,31,157,65,40
2014,CHW,660,477,934,279,32,155,85,36
2014,CIN,595,467,877,254,20,131,122,52
2014,CLE,669,546,962,284,23,142,104,27
2014,COL,755,445,1017,307,41,186,85,48
2014,DET,757,487,1051,325,26,155,106,41
2014,HOU,629,550,895,240,19,163,122,37
2014,KCR,651,433,1046,286,29,95,153,36
2014,LAA,773,552,974,304,31,155,81,39
2014,LAD,718,580,1002,302,38,134,138,50
