Event code,Event,000-0,100-0,110-0,101-0,011-0,010-0,001-0,111-0,000-1,100-1,110-1,101-1,011-1,010-1,001-1,111-1,000-2,100-2,110-2,101-2,011-2,010-2,001-2,111-2
1,Strikeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Walk,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,HBP,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,Error,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1
5,Long Single,0,0,1,1,2,1,1,2,0,0,1,1,2,1,1,2,0,0,1,1,2,1,1,2
6,Medium Single,0,0,1,1,2,1,1,2,0,0,1,1,2,1,1,2,0,0,1,1,2,1,1,2
7,Short single,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1
8,Short double,0,0,1,1,2,1,1,2,0,0,1,1,2,1,1,2,0,0,1,1,2,1,1,2
9,Long double,0,1,2,2,2,1,1,3,0,1,2,2,2,1,1,3,0,1,2,2,2,1,1,3
10,Triple ,0,1,2,2,2,1,1,3,0,1,2,2,2,1,1,3,0,1,2,2,2,1,1,3
11,Home run,1,2,3,3,3,2,2,4,1,2,3,3,3,2,2,4,1,2,3,3,3,2,2,4
12,GIDP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Normal GO,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
14,Line drive or Infield fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Long Fly,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
16,Medium Fly,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
17,Short Fly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
