Last Name,First Name,Pitches,Runs from Extra Strikes,,,,,
Hedges, Austin,2684,15,,,,,
Flowers, Tyler,2252,15,,,,,
Perez, Roberto,3036,12,,,,,
Grandal, Yasmani,3701,12,,,,,
Vazquez, Christian,3186,11,,,,,h
Realmuto, J.T.,3730,8,,,,,
McCann, Brian,2269,8,,,,,
Stassi, Max,1206,7,,,,,
Posey, Buster,2675,7,,,,,
Martin, Russell,1491,6,,,,,
Kelly, Carson,2588,5,,,,,
Plawecki, Kevin,1280,4,,,,,
Avila, Alex,1406,4,,,,,
Pina, Manny,1182,4,,,,,
Stallings, Jacob,1388,4,,,,,
Murphy, Tom,1971,4,,,,,
Jansen, Danny,2841,4,,,,,
Leon, Sandy,1567,3,,,,,
Knapp, Andrew,973,2,,,,,
Caratini, Victor,1346,2,,,,,
Nido, Tomas,1007,2,,,,,
Smith, Will,1315,2,,,,,
Castro, Jason,2068,2,,,,,
Barnhart, Tucker,2363,2,,,,,
Barnes, Austin,1558,1,,,,,
Gallagher, Cam,1122,1,,,,,
Greiner, Grayson,1600,1,,,,,
Gomes, Yan,2816,1,,,,,
Molina, Yadier,3365,0,,,,,
Casali, Curt,1638,0,,,,,
Romine, Austin,1830,0,,,,,
Trevino, Jose,1034,0,,,,,
Maldonado, Martin,2997,-1,,,,,
Rogers, Jake,1061,-1,,,,,
Zunino, Mike,2023,-2,,,,,
d'Arnaud, Travis,2224,-2,,,,,
Mathis, Jeff,2231,-2,,,,,
Cervelli, Francisco,1020,-2,,,,,
Iannetta, Chris,1242,-2,,,,,
Lucroy, Jonathan,2270,-3,,,,,
Maile, Luke,1157,-3,,,,,
Vogt, Stephen,1407,-3,,,,,
Holaday, Bryan,998,-3,,,,,
Garver, Mitch,2205,-4,,,,,
Contreras, Willson,2872,-4,,,,,
Mejia, Francisco,1542,-4,,,,,
Ramos, Wilson,3509,-4,,,,,
Hicks, John,1711,-4,,,,,
Viloria, Meibrys,1222,-4,,,,,
Severino, Pedro,2522,-5,,,,,
Phegley, Josh,2665,-5,,,,,
Sisco, Chance,1369,-5,,,,,
Alfaro, Jorge,3153,-6,,,,,
Sanchez, Gary,2760,-6,,,,,
Suzuki, Kurt,2264,-6,,,,,
Wieters, Matt,1226,-6,,,,,
Kiner-Falefa, Isiah,1111,-6,,,,,
Narvaez, Omar,2827,-7,,,,,
Wolters, Tony,3053,-7,,,,,
Castillo, Welington,1399,-8,,,,,
Smith, Kevan,1486,-8,,,,,
Chirinos, Robinson,3450,-10,,,,,
Diaz, Elias,2551,-10,,,,,
McCann, James,2992,-15,,,,,
