Base,distance
1,67.65
2,64.76
1,61.70
1,57.93
1,47.13
1,52.00
2,54.78
2,59.69
2,41.29
1,60.46
2,57.77
2,51.92
2,65.49
1,41.34
2,58.15
2,70.48
2,69.17
2,58.79
1,38.19
2,62.32
2,64.76
2,72.04
2,43.86
1,46.69
2,64.80
1,60.68
2,54.18
2,59.16
1,51.62
2,63.91
2,67.19
2,51.56
2,64.54
1,52.48
1,46.02
1,68.26
1,61.37
1,54.92
2,61.64
2,65.59
1,59.40
2,63.47
2,55.68
1,53.77
2,47.76
2,59.75
1,47.70
1,45.29
2,60.07
2,66.62
1,51.52
1,63.38
1,50.44
1,53.99
1,48.03
1,75.62
1,55.89
1,44.40
1,53.91
1,47.26
1,52.70
1,56.54
1,71.50
1,48.71
1,61.11
1,52.44
1,51.22
1,64.09
1,69.77
1,61.91
1,47.02
1,70.04
1,71.41
1,73.17
1,53.32
1,56.58
1,59.14
1,52.54
1,38.10
1,56.15
1,49.69
1,67.67
1,55.09
1,67.23
1,54.20
1,43.68
1,80.13
1,60.09
1,66.40
1,63.40
1,68.75
1,58.77
1,60.23
1,38.56
1,58.90
1,46.40
1,51.61
1,71.69
1,55.37
1,72.49
1,53.66
1,63.17
2,65.54
1,51.96
1,67.79
1,70.38
1,57.21
1,54.11
1,51.20
1,57.47
1,68.61
1,69.81
1,62.45
1,65.17
1,34.83
2,62.99
2,60.34
2,48.91
1,45.55
2,58.84
2,52.11
1,40.94
2,59.32
2,61.97
1,57.33
1,61.77
1,62.99
1,53.56
1,47.05
1,51.48
1,71.34
1,52.34
1,52.53
1,53.04
1,48.48
1,69.63
1,51.44
1,72.12
1,64.68
1,52.88
1,37.60
1,48.48
2,55.02
1,46.54
1,49.64
1,55.81
1,68.80
1,62.23
1,67.85
1,66.18
1,76.35
1,52.64
1,57.65
1,47.64
1,50.55
1,75.54
1,57.38
1,64.96
1,70.83
1,47.57
1,60.58
1,69.70
1,45.79
1,51.86
1,45.94
1,58.54
1,58.82
1,52.96
1,69.23
1,61.23
1,43.00
1,50.01
1,63.24
1,62.01
1,41.05
1,54.64
1,63.46
1,47.12
1,64.46
1,36.69
1,55.46
1,59.69
1,63.43
1,48.98
1,41.69
1,80.32
1,60.05
1,48.05
1,65.44
1,52.49
1,54.35
1,58.90
1,57.13
1,41.88
1,73.50
1,65.56
1,40.66
1,55.51
1,67.92
1,56.72
1,77.64
1,61.75
1,62.53
1,55.44
1,52.49
1,58.41
1,64.82
1,67.72
1,66.34
1,48.07
1,62.75
1,45.21
1,54.15
1,64.27
1,46.23
1,49.78
1,33.24
1,70.07
1,70.90
1,67.87
1,56.95
1,54.35
1,68.13
1,67.88
1,54.41
1,68.24
1,56.71
1,54.48
1,56.20
1,65.21
1,55.17
1,49.43
1,58.34
1,61.23
1,65.27
1,66.22
1,57.24
1,71.47
1,49.05
1,46.60
1,70.76
1,38.84
1,71.73
1,62.46
1,59.73
1,54.70
1,59.60
1,56.86
1,52.79
1,35.44
1,73.21
1,49.49
1,56.11
1,68.52
1,77.20
1,59.78
1,47.21
1,51.74
1,57.71
1,57.36
1,39.26
1,73.19
1,60.75
1,70.55
1,60.00
1,56.69
1,66.14
1,59.34
1,70.21
1,53.59
1,56.41
1,62.00
1,48.57
1,57.38
1,46.94
1,71.17
1,53.79
1,45.05
1,53.21
1,73.04
1,33.33
1,60.56
1,43.10
1,82.73
1,45.92
1,57.01
1,65.50
1,48.77
1,44.13
1,58.65
